filename,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,label
classical.00000.wav,-268.1955261,135.6919708,-34.05140305,25.61550713,-12.97758484,17.90298843,-9.990348816,5.630702496,-14.14257336,7.49030447,-3.969332218,8.258573532,-1.335326076,-0.365052164,1.039341211,3.791384459,-0.320783019,1.772985101,0.889234006,-0.842024863,classical
classical.00001.wav,-324.0611572,133.594574,-25.04469109,24.55264282,-11.94702435,17.66755867,-5.524336338,1.711050391,-10.57714176,-0.849828899,-7.808103561,3.525354862,5.048823357,1.367479324,3.010915756,-3.128688097,-4.28984642,0.59100914,2.877630949,0.373280644,classical
classical.00002.wav,-235.2537231,141.1099854,-34.67073441,30.96661186,-16.38002014,23.1108284,-11.03014946,7.638682365,-19.01194191,4.219429016,-11.82760048,8.911826134,-1.431637764,4.288130283,1.475191832,3.17156148,-1.309432507,2.945177317,-1.655027032,-2.896192551,classical
classical.00003.wav,-326.861084,127.4024048,-30.60689735,37.45817184,-5.300833225,20.81996346,-1.774823785,-4.613475323,-4.044669628,5.224091053,-0.653076768,2.79403019,7.235352516,3.975653648,-2.387835741,1.499584794,0.597388685,-0.595683694,2.341258526,2.640535831,classical
classical.00004.wav,-259.9151306,118.9501648,-35.61749268,31.96369362,-16.52582359,10.61653328,-15.65391922,7.417118549,-5.822311878,8.268571854,-17.98200226,-1.185532689,-6.355772495,2.748989344,-2.585194111,4.403328419,-4.1252985,-4.787771225,-4.774069309,-4.603726864,classical
classical.00005.wav,-264.2930298,138.1752167,-30.08368301,37.82317734,-7.17117691,6.760847092,-11.7936058,4.705314159,-9.814957619,5.85040617,-9.55994606,2.67933321,-4.782588482,-1.409668326,-2.093971729,2.974851847,3.358777285,4.813419342,1.758111238,-1.830847025,classical
classical.00006.wav,-295.7745667,134.5388336,-22.42955399,40.74411392,-5.875274181,9.255605698,-11.86452103,6.286139488,-8.856302261,4.393896103,-9.372191429,4.062892914,1.645390511,5.135507107,5.429153442,2.26820755,-1.829535127,-2.927458286,0.13953793,3.201955795,classical
classical.00007.wav,-286.7418823,135.933197,-24.43938065,36.64537048,-6.230931759,6.949922562,-8.159003258,3.831786633,-4.391858578,6.425465584,-4.125,1.540685534,-4.340679646,-3.023985147,-0.011629156,5.636145592,3.431849718,2.829486847,1.104041934,-0.292906821,classical
classical.00008.wav,-292.0603943,127.7625656,-29.89420128,37.42157745,-9.550169945,5.111379623,-13.81278706,7.028453827,-7.025754452,6.496709824,-9.902276993,4.706311703,0.36921677,1.462702513,3.407434225,6.078481674,0.959206402,-0.760934711,-2.110458612,0.754724026,classical
classical.00009.wav,-356.105896,139.8126678,-6.278577328,43.17738724,-8.851787567,11.04790306,-8.375142097,4.419640064,-8.284428596,8.676265717,-8.13502121,3.428734303,-1.439430475,-0.422974586,-1.727985978,-0.289919019,-0.660842419,1.160319448,-0.618510842,-0.25403285,classical
